time,s2
2017-08-29 10:30:00.000,241.17
2017-08-29 10:30:00.190,238.04
2017-08-29 10:30:00.400,239.95
2017-08-29 10:30:00.520,242.19
2017-08-29 10:30:00.700,244.66
2017-08-29 10:30:00.780,242.13
2017-08-29 10:30:00.880,240.46
2017-08-29 10:30:01.020,240.54
2017-08-29 10:30:01.200,240.55
2017-08-29 10:30:01.300,238.56
2017-08-29 10:30:01.350,236.42
2017-08-29 10:30:01.550,242.84
2017-08-29 10:30:01.660,246.14
2017-08-29 10:30:01.730,244.34
2017-08-29 10:30:01.890,241.018
2017-08-29 10:30:02.090,240.16
2017-08-29 10:30:02.230,240.37
2017-08-29 10:30:02.390,240.575
2017-08-29 10:30:02.460,242.82
2017-08-29 10:30:02.520,245.325
2017-08-29 10:30:02.630,249.05
2017-08-29 10:30:02.730,253.35
2017-08-29 10:30:02.910,257.41
2017-08-29 10:30:02.970,256.88
2017-08-29 10:30:03.010,256.74
2017-08-29 10:30:03.210,261.5812
2017-08-29 10:30:03.250,261.37
2017-08-29 10:30:03.380,257.92
2017-08-29 10:30:03.490,258.57
2017-08-29 10:30:03.600,266.36
2017-08-29 10:30:03.740,267.92
2017-08-29 10:30:03.850,267.39
2017-08-29 10:30:03.910,267.38
2017-08-29 10:30:04.050,267.09
2017-08-29 10:30:04.230,269.89
2017-08-29 10:30:04.310,274.45
2017-08-29 10:30:04.500,275.54
2017-08-29 10:30:04.570,273.13
2017-08-29 10:30:04.710,274.51
2017-08-29 10:30:04.790,275.55
2017-08-29 10:30:05.000,280.42
2017-08-29 10:30:05.130,282.31
2017-08-29 10:30:05.300,281.4
2017-08-29 10:30:05.400,281.52
2017-08-29 10:30:05.580,282.4
2017-08-29 10:30:05.700,284.4
2017-08-29 10:30:05.880,285.66
2017-08-29 10:30:06.050,286.7
2017-08-29 10:30:06.140,285.01
2017-08-29 10:30:06.330,284.67
2017-08-29 10:30:06.420,279.594
2017-08-29 10:30:06.570,279.31
2017-08-29 10:30:06.650,276.8699
2017-08-29 10:30:06.830,276.3395
2017-08-29 10:30:06.980,279.6
2017-08-29 10:30:07.160,279.74
2017-08-29 10:30:07.270,278.605
2017-08-29 10:30:07.420,288.67
2017-08-29 10:30:07.620,274.36
2017-08-29 10:30:07.800,271.09
2017-08-29 10:30:07.930,275.47
2017-08-29 10:30:07.970,274.1
2017-08-29 10:30:08.090,274.05
2017-08-29 10:30:08.140,271.24
2017-08-29 10:30:08.290,269.9875
2017-08-29 10:30:08.340,270.07
2017-08-29 10:30:08.420,271.03
2017-08-29 10:30:08.560,269.31
2017-08-29 10:30:08.650,262.29
2017-08-29 10:30:08.810,262.29
2017-08-29 10:30:08.920,262.64
2017-08-29 10:30:09.020,261.25
2017-08-29 10:30:09.110,260.82
2017-08-29 10:30:09.250,262.38
2017-08-29 10:30:09.320,265.55
2017-08-29 10:30:09.380,263.59
2017-08-29 10:30:09.430,261.9
2017-08-29 10:30:09.580,263.25
2017-08-29 10:30:09.770,263.47
2017-08-29 10:30:09.950,264.66
2017-08-29 10:30:10.010,265.9245
2017-08-29 10:30:10.090,267.69
2017-08-29 10:30:10.150,269.36
2017-08-29 10:30:10.260,268.2
2017-08-29 10:30:10.420,266.79
2017-08-29 10:30:10.520,267.62
2017-08-29 10:30:10.560,267.48
2017-08-29 10:30:10.720,265.91
2017-08-29 10:30:10.860,265.41
2017-08-29 10:30:10.980,266.928
2017-08-29 10:30:11.040,266.59
2017-08-29 10:30:11.110,266.61
2017-08-29 10:30:11.240,263.98
2017-08-29 10:30:11.290,261.81
2017-08-29 10:30:11.450,256.72
